Id;Ano;Mes;Fornecedor_Id;Valor_dia;Regiao_Id;Zona_Id;Categoria_Id;;;;;;;;0,180690245;3-superartista;0,227181974;2-ArtistasMedios;0,592127781;1-PequenosArtistas
246;2026;1;41;833,3333333;32;6;1;;;;;;;;;;;;;
247;2026;1;6831;833,3333333;13;3;1;;;;;;;;;;;;;
248;2026;1;42;833,3333333;32;6;1;;;;;;;;;;;;;
249;2026;1;43;833,3333333;32;6;1;;;;;;;;;;;;;
250;2026;1;6831;25000;13;3;2;;;;;;;;;;;;;
251;2026;1;44;833,3333333;32;6;1;;;;;;;;;;;;;
252;2026;1;949;833,3333333;32;6;1;;;;;;;;;;;;;
253;2026;1;45;833,3333333;2;2;1;;;;;;;;;;;;;
254;2026;1;939;833,3333333;32;6;1;;;;;;;;;;;;;
255;2026;1;46;833,3333333;32;6;1;;;;;;;;;;;;;
256;2026;1;47;25000;32;6;2;;;;;;;;;;;;;
257;2026;1;950;25000;13;3;2;;;;;;;;;;;;;
258;2026;1;48;25000;32;6;2;;;;;;;;;;;;;
259;2026;1;49;833,3333333;32;6;1;;;;;;;;;;;;;
260;2026;1;50;833,3333333;32;6;1;;;;;;;;;;;;;
261;2026;1;51;833,3333333;32;6;1;;;;;;;;;;;;;
262;2026;1;939;833,3333333;32;6;1;;;;;;;;;;;;;
268;2026;1;954;1944,444444;29;5;1;;;;;;;;;;;;;
269;2026;1;955;3500;32;6;1;;;;;;;;;;;;;
272;2026;1;957;20672;7;2;2;;;;;;;;;;;;;
273;2026;1;813;6000;1;1;1;;;;;;;;;;;;;
274;2026;1;888;3500;9;2;1;;;;;;;;;;;;;
275;2026;1;958;7400;20;4;1;;;;;;;;;;;;;
276;2026;1;959;7400;13;3;1;;;;;;;;;;;;;
278;2026;1;961;5000;13;3;1;;;;;;;;;;;;;
279;2026;1;962;5000;4;2;1;;;;;;;;;;;;;
280;2026;1;963;40000;26;5;2;;;;;;;;;;;;;
281;2026;12;964;892,8571429;1;1;1;;;;;;;;;;;;;
282;2026;1;965;25000;32;6;2;;;;;;;;;;;;;
283;2026;1;966;25000;1;1;2;;;;;;;;;;;;;
284;2026;1;967;25000;32;6;2;;;;;;;;;;;;;
285;2026;1;968;25000;32;6;2;;;;;;;;;;;;;
286;2026;1;969;25000;32;6;2;;;;;;;;;;;;;
287;2026;1;970;25000;32;6;2;;;;;;;;;;;;;
288;2026;1;971;25000;32;6;2;;;;;;;;;;;;;
291;2026;1;974;7400;2;2;1;;;;;;;;;;;;;
292;2026;1;975;5000;14;3;1;;;;;;;;;;;;;
299;2026;1;978;23000;20;4;2;;;;;;;;;;;;;
301;2026;1;979;5000;1;1;1;;;;;;;;;;;;;
302;2026;1;980;7000;9;2;1;;;;;;;;;;;;;
303;2026;1;981;5000;31;5;1;;;;;;;;;;;;;
304;2026;1;982;7400;13;3;1;;;;;;;;;;;;;
305;2026;1;983;130000;14;3;3;;;;;;;;;;;;;
307;2026;1;984;7400;1;1;1;;;;;;;;;;;;;
317;2026;1;986;30000;2;2;2;;;;;;;;;;;;;
320;2026;1;988;7400;4;2;1;;;;;;;;;;;;;
321;2026;1;989;7400;1;1;1;;;;;;;;;;;;;
322;2026;1;888;3500;29;5;1;;;;;;;;;;;;;
324;2026;1;991;6000;32;6;1;;;;;;;;;;;;;
325;2026;1;992;7400;16;3;1;;;;;;;;;;;;;
328;2026;1;995;7400;8;2;1;;;;;;;;;;;;;
329;2026;1;996;4000;28;5;1;;;;;;;;;;;;;
330;2026;1;997;7400;2;2;1;;;;;;;;;;;;;
332;2026;1;999;6500;2;2;1;;;;;;;;;;;;;
333;2026;1;1000;14800;24;5;2;;;;;;;;;;;;;
341;2026;1;892;6500;26;5;1;;;;;;;;;;;;;
342;2026;1;1006;3500;4;2;1;;;;;;;;;;;;;
344;2026;1;885;5200;2;2;1;;;;;;;;;;;;;
345;2026;1;1008;3500;1;1;1;;;;;;;;;;;;;
347;2026;1;892;6000;2;2;1;;;;;;;;;;;;;
348;2026;1;1009;6000;4;2;1;;;;;;;;;;;;;
349;2026;1;991;6000;7;2;1;;;;;;;;;;;;;
352;2026;1;1012;6500;32;6;1;;;;;;;;;;;;;
355;2026;1;1006;3500;23;5;1;;;;;;;;;;;;;
356;2026;1;1014;5000;7;2;1;;;;;;;;;;;;;
357;2026;1;1015;7400;13;3;1;;;;;;;;;;;;;
358;2026;11;1016;50000;24;5;3;;;;;;;;;;;;;
359;2026;1;796;6000;8;2;1;;;;;;;;;;;;;
362;2026;12;1018;4228,571429;25;5;1;;;;;;;;;;;;;
364;2026;1;1019;3000;3;2;1;;;;;;;;;;;;;
365;2026;1;5941;5000;16;3;1;;;;;;;;;;;;;
366;2026;1;1020;15000;9;2;2;;;;;;;;;;;;;
367;2026;1;1021;6000;28;5;1;;;;;;;;;;;;;
368;2026;1;1022;5000;7;2;1;;;;;;;;;;;;;
370;2026;1;1024;6000;16;3;1;;;;;;;;;;;;;
373;2026;1;798;7400;28;5;1;;;;;;;;;;;;;
374;2026;1;1027;6000;26;5;1;;;;;;;;;;;;;
375;2026;1;1028;4000;26;5;1;;;;;;;;;;;;;
376;2026;1;1029;7400;26;5;1;;;;;;;;;;;;;
377;2026;1;1030;6250;1;1;1;;;;;;;;;;;;;
379;2026;1;885;7400;29;5;1;;;;;;;;;;;;;
383;2026;1;932;3500;13;3;1;;;;;;;;;;;;;
384;2026;1;892;5000;13;3;1;;;;;;;;;;;;;
385;2026;1;892;6000;4;2;1;;;;;;;;;;;;;
386;2026;1;1032;7400;4;2;1;;;;;;;;;;;;;
387;2026;1;862;7000;15;3;1;;;;;;;;;;;;;
388;2026;12;1033;5000;5;2;1;;;;;;;;;;;;;
